Date,Price,Open,High,Low,Vol.,Change %
"Apr 14, 2021","63,546.00","63,518.00","64,374.00","62,826.00",9.99K,0.04%
"Apr 13, 2021","63,518.00","59,900.00","63,518.00","59,900.00",11.26K,6.04%
"Apr 12, 2021","59,900.00","60,034.80","60,701.00","59,747.00",5.50K,-0.22%
"Apr 11, 2021","60,034.80","59,823.80","60,486.00","59,411.00",4.65K,0.35%
"Apr 10, 2021","59,823.80","58,114.00","60,984.00","58,114.00",9.79K,2.94%
"Apr 09, 2021","58,114.00","58,110.00","58,683.00","57,849.00",3.75K,0.01%
"Apr 08, 2021","58,110.00","55,960.00","58,110.00","55,960.00",4.48K,3.84%
"Apr 07, 2021","55,960.00","57,991.00","58,490.00","55,960.00",8.85K,-3.50%
"Apr 06, 2021","57,991.00","59,145.00","59,200.00","57,603.00",5.62K,-1.95%
"Apr 05, 2021","59,145.00","58,240.00","59,145.00","57,034.00",5.59K,1.55%
"Apr 04, 2021","58,240.00","57,023.00","58,240.00","57,023.00",4.97K,2.13%
"Apr 03, 2021","57,023.00","58,959.00","59,499.00","57,023.00",6.63K,-3.28%
"Apr 02, 2021","58,959.00","58,727.40","59,834.00","58,727.40",6.15K,0.39%
"Apr 01, 2021","58,727.40","58,796.00","59,172.90","58,498.00",4.35K,-0.12%
"Mar 31, 2021","58,796.00","58,841.00","59,453.00","57,698.00",8.12K,-0.08%
"Mar 30, 2021","58,841.00","57,672.30","59,349.00","57,278.00",7.87K,2.03%
"Mar 29, 2021","57,672.30","55,773.00","58,162.00","54,984.00",10.12K,3.41%
"Mar 28, 2021","55,773.00","55,886.00","56,326.00","55,089.00",4.21K,-0.20%
"Mar 27, 2021","55,886.00","54,992.90","56,249.00","54,373.00",5.18K,1.62%
"Mar 26, 2021","54,992.90","51,363.00","54,992.90","51,363.00",7.71K,7.07%
"Mar 25, 2021","51,363.00","52,347.20","52,926.00","50,874.00",11.59K,-1.88%
"Mar 24, 2021","52,347.20","54,331.00","56,919.00","52,347.20",14.08K,-3.65%
"Mar 23, 2021","54,331.00","54,074.00","55,646.90","53,541.20",6.57K,0.48%
"Mar 22, 2021","54,074.00","57,368.00","58,036.00","54,074.00",8.72K,-5.74%
"Mar 21, 2021","57,368.00","58,087.00","58,499.50","56,200.00",8.29K,-1.24%
