date,bitcoins
2012-01-01,26
2012-01-02,27
2012-01-03,38
2012-01-04,18
2012-01-05,25
2012-01-06,7
2012-01-07,30
2012-01-08,7
2012-01-09,30
2012-01-10,18
2012-01-11,12
2012-01-12,37
2012-01-13,31
2012-01-14,7
2012-01-15,21
2012-01-16,36
2012-01-17,12
2012-01-18,58
2012-01-19,24
2012-01-20,12
2012-01-21,22
2012-01-22,21
2012-01-23,30
2012-01-24,42
2012-01-25,30
2012-01-26,6
2012-01-27,19
2012-01-28,29
2012-01-29,49
2012-01-30,41
2012-01-31,12
2012-02-01,6
2012-02-02,30
2012-02-03,43
2012-02-04,85
2012-02-05,14
2012-02-06,12
2012-02-07,23
2012-02-08,29
2012-02-09,48
2012-02-10,24
2012-02-11,28
2012-02-12,14
2012-02-13,34
2012-02-14,24
2012-02-15,24
2012-02-16,18
2012-02-17,25
2012-02-18,7
2012-02-19,64
2012-02-20,18
2012-02-21,36
2012-02-22,35
2012-02-23,12
2012-02-24,18
2012-02-25,0
2012-02-26,35
2012-02-27,29
2012-02-28,12
2012-02-29,35
2012-03-01,30
2012-03-02,32
2012-03-03,29
2012-03-04,36
2012-03-05,54
2012-03-06,29
2012-03-07,6
2012-03-08,18
2012-03-09,30
2012-03-10,42
2012-03-11,42
2012-03-12,17
2012-03-13,52
2012-03-14,23
2012-03-15,18
2012-03-16,19
2012-03-17,14
2012-03-18,14
2012-03-19,35
2012-03-20,35
2012-03-21,35
2012-03-22,24
2012-03-23,31
2012-03-24,7
2012-03-25,14
2012-03-26,6
2012-03-27,23
2012-03-28,18
2012-03-29,23
2012-03-30,37
2012-03-31,21
2012-04-01,28
2012-04-02,42
2012-04-03,6
2012-04-04,30
2012-04-05,25
2012-04-06,7
2012-04-07,22
2012-04-08,38
2012-04-09,49
2012-04-10,30
2012-04-11,17
2012-04-12,18
2012-04-13,12
2012-04-14,28
2012-04-15,14
2012-04-16,40
2012-04-17,23
2012-04-18,40
2012-04-19,35
2012-04-20,24
2012-04-21,21
2012-04-22,21
2012-04-23,34
2012-04-24,17
2012-04-25,17
2012-04-26,47
2012-04-27,25
2012-04-28,65
2012-04-29,14
2012-04-30,49
2012-05-01,45
2012-05-02,0
2012-05-03,35
2012-05-04,12
2012-05-05,0
2012-05-06,14
2012-05-07,17
2012-05-08,17
2012-05-09,11
2012-05-10,6
2012-05-11,24
2012-05-12,28
2012-05-13,100
2012-05-14,62
2012-05-15,23
2012-05-16,23
2012-05-17,30
2012-05-18,25
