Date,bitcoins
1/1/2012,26
1/2/2012,27
1/3/2012,38
1/4/2012,18
1/5/2012,25
1/6/2012,7
1/7/2012,30
1/8/2012,7
1/9/2012,30
1/10/2012,18
1/11/2012,12
1/12/2012,37
1/13/2012,31
1/14/2012,7
1/15/2012,21
1/16/2012,36
1/17/2012,12
1/18/2012,58
1/19/2012,24
1/20/2012,12
1/21/2012,22
1/22/2012,21
1/23/2012,30
1/24/2012,42
1/25/2012,30
1/26/2012,6
1/27/2012,19
1/28/2012,29
1/29/2012,49
1/30/2012,41
1/31/2012,12
2/1/2012,6
2/2/2012,30
2/3/2012,43
2/4/2012,85
2/5/2012,14
2/6/2012,12
2/7/2012,23
2/8/2012,29
2/9/2012,48
2/10/2012,24
2/11/2012,28
2/12/2012,14
2/13/2012,34
2/14/2012,24
2/15/2012,24
2/16/2012,18
2/17/2012,25
2/18/2012,7
2/19/2012,64
2/20/2012,18
2/21/2012,36
2/22/2012,35
2/23/2012,12
2/24/2012,18
2/25/2012,0
2/26/2012,35
2/27/2012,29
2/28/2012,12
2/29/2012,35
3/1/2012,30
3/2/2012,32
3/3/2012,29
3/4/2012,36
3/5/2012,54
3/6/2012,29
3/7/2012,6
3/8/2012,18
3/9/2012,30
3/10/2012,42
3/11/2012,42
3/12/2012,17
3/13/2012,52
3/14/2012,23
3/15/2012,18
3/16/2012,19
3/17/2012,14
3/18/2012,14
3/19/2012,35
3/20/2012,35
3/21/2012,35
3/22/2012,24
3/23/2012,31
3/24/2012,7
3/25/2012,14
3/26/2012,6
3/27/2012,23
3/28/2012,18
3/29/2012,23
3/30/2012,37
3/31/2012,21
4/1/2012,28
4/2/2012,42
4/3/2012,6
4/4/2012,30
4/5/2012,25
4/6/2012,7
4/7/2012,22
4/8/2012,38
4/9/2012,49
4/10/2012,30
4/11/2012,17
4/12/2012,18
4/13/2012,12
4/14/2012,28
4/15/2012,14
4/16/2012,40
4/17/2012,23
4/18/2012,40
4/19/2012,35
4/20/2012,24
4/21/2012,21
4/22/2012,21
4/23/2012,34
4/24/2012,17
4/25/2012,17
4/26/2012,47
4/27/2012,25
4/28/2012,65
4/29/2012,14
4/30/2012,49
5/1/2012,45
5/2/2012,0
5/3/2012,35
5/4/2012,12
5/5/2012,0
5/6/2012,14
5/7/2012,17
5/8/2012,17
5/9/2012,11
5/10/2012,6
5/11/2012,24
5/12/2012,28
5/13/2012,100
5/14/2012,62
