,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin %,Price,Open,High,Low,Vol.,Change %,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,vol_sp,change_sp,trend_bitcoins
0,2021-04-14,"62,795.90","63,544.20","64,778.00","62,557.40",116.57K,-1.17%,"63,546.00","63,518.00","64,374.00","62,826.00",9.99K,0.04%,"33,874.69","33,668.95","33,910.59","33,668.95",175.46M,0.59%,"13,947.08","14,004.07","14,033.63","13,928.49",439.56M,-0.35%,"4,141.84","4,140.40","4,151.97","4,138.20",-,0.01%,
1,2021-04-13,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%,"63,518.00","59,900.00","63,518.00","59,900.00",11.26K,6.04%,"33,677.27","33,721.16","33,741.64","33,545.84",330.00M,-0.20%,"13,996.10","13,902.45","14,011.51","13,902.45",839.45M,1.05%,"4,141.59","4,130.10","4,148.00","4,124.43",-,0.33%,
2,2021-04-12,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%,"59,900.00","60,034.80","60,701.00","59,747.00",5.50K,-0.22%,"33,745.40","33,775.06","33,786.19","33,665.54",329.02M,-0.16%,"13,850.00","13,854.44","13,877.00","13,783.95",894.01M,-0.36%,"4,127.99","4,124.71","4,131.76","4,114.82",-,-0.02%,
3,2021-04-11,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%,"60,034.80","59,823.80","60,486.00","59,411.00",4.65K,0.35%,,,,,,,,,,,,,,,,,,,45.0
4,2021-04-10,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%,"59,823.80","58,114.00","60,984.00","58,114.00",9.79K,2.94%,,,,,,,,,,,,,,,,,,,46.0
5,2021-04-09,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%,"58,114.00","58,110.00","58,683.00","57,849.00",3.75K,0.01%,"33,800.60","33,526.19","33,810.87","33,526.19",317.82M,0.89%,"13,900.18","13,787.01","13,905.41","13,748.35",785.76M,0.51%,"4,128.80","4,096.11","4,129.48","4,095.51",-,0.77%,37.0
6,2021-04-08,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%,"58,110.00","55,960.00","58,110.00","55,960.00",4.48K,3.84%,"33,503.57","33,469.89","33,506.80","33,342.64",306.19M,0.17%,"13,829.31","13,796.89","13,830.14","13,758.71",870.92M,1.03%,"4,097.17","4,089.95","4,098.19","4,082.54",-,0.42%,43.0
7,2021-04-07,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%,"55,960.00","57,991.00","58,490.00","55,960.00",8.85K,-3.50%,"33,446.26","33,444.98","33,521.76","33,347.96",279.88M,0.05%,"13,688.84","13,675.30","13,733.03","13,653.58",819.48M,-0.07%,"4,079.95","4,074.29","4,083.13","4,068.31",-,0.15%,36.0
8,2021-04-06,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%,"57,991.00","59,145.00","59,200.00","57,603.00",5.62K,-1.95%,"33,430.24","33,500.02","33,544.79","33,380.43",298.31M,-0.29%,"13,698.38","13,681.67","13,776.71","13,674.28",870.63M,-0.05%,"4,073.94","4,075.57","4,086.23","4,068.14",-,-0.10%,45.0
9,2021-04-05,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%,"59,145.00","58,240.00","59,145.00","57,034.00",5.59K,1.55%,"33,527.19","33,222.38","33,617.95","33,222.38",345.15M,1.13%,"13,705.59","13,594.90","13,720.58","13,582.75",916.61M,1.67%,"4,077.91","4,034.44","4,083.42","4,034.44",-,1.44%,44.0
10,2021-04-04,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%,"58,240.00","57,023.00","58,240.00","57,023.00",4.97K,2.13%,,,,,,,,,,,,,,,,,,,36.0
11,2021-04-03,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%,"57,023.00","58,959.00","59,499.00","57,023.00",6.63K,-3.28%,,,,,,,,,,,,,,,,,,,52.0
12,2021-04-02,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%,"58,959.00","58,727.40","59,834.00","58,727.40",6.15K,0.39%,,,,,,,,,,,,,,,,,,,39.0
